Date,Close
2009-11-24,96.711
2009-11-25,97.012
2009-11-27,95.447
2009-11-30,95.771
2009-12-01,96.944
2009-12-02,96.905
2009-12-03,96.166
2009-12-04,96.73
2009-12-07,96.576
2009-12-08,95.482
2009-12-09,95.837
2009-12-10,96.399
2009-12-11,96.809
2009-12-14,97.447
2009-12-15,96.993
2009-12-16,97.135
2009-12-17,95.981
2009-12-18,96.009
2009-12-21,96.973
2009-12-22,97.32
2009-12-23,97.525
2009-12-24,97.989
2009-12-28,98.203
2009-12-29,98.067
2009-12-30,98.028
2009-12-31,97.068
2010-01-04,98.728
2010-01-05,98.986
2010-01-06,99.04
2010-01-07,99.478
2010-01-08,99.81
2010-01-11,99.95
2010-01-12,99.006
2010-01-13,99.85
2010-01-14,100.13
2010-01-15,98.996
2010-01-19,100.25
2010-01-20,99.2
2010-01-21,97.292
2010-01-22,95.141
2010-01-25,95.616
2010-01-26,95.217
2010-01-27,95.675
2010-01-28,94.593
2010-01-29,93.55
2010-02-01,95.016
2010-02-02,96.166
2010-02-03,95.675
2010-02-04,92.731
2010-02-05,92.917
2010-02-08,92.249
2010-02-09,93.401
2010-02-10,93.223
2010-02-11,94.201
2010-02-12,94.118
2010-02-16,95.589
2010-02-17,96.061
2010-02-18,96.641
2010-02-19,96.836
2010-02-22,96.845
2010-02-23,95.655
2010-02-24,96.556
2010-02-25,96.427
2010-02-26,96.494
2010-03-01,97.467
2010-03-02,97.745
2010-03-03,97.832
2010-03-04,98.133
2010-03-05,99.53
2010-03-08,99.55
2010-03-09,99.71
2010-03-10,100.16
2010-03-11,100.58
2010-03-12,100.59
2010-03-15,100.62
2010-03-16,101.4
2010-03-17,102.01
2010-03-18,101.96
2010-03-19,101.04
2010-03-22,101.57
2010-03-23,102.28
2010-03-24,101.79
2010-03-25,101.61
2010-03-26,101.56
2010-03-29,102.2
2010-03-30,102.27
2010-03-31,101.93
2010-04-01,102.62
2010-04-05,103.46
2010-04-06,103.7
2010-04-07,103.1
2010-04-08,103.47
2010-04-09,104.15
2010-04-12,104.31
2010-04-13,104.4
2010-04-14,105.59
2010-04-15,105.67
2010-04-16,103.99
2010-04-19,104.38
2010-04-20,105.32
2010-04-21,105.11
2010-04-22,105.43
2010-04-23,106.12
2010-04-26,105.73
2010-04-27,103.21
2010-04-28,104.0
2010-04-29,105.3
2010-04-30,103.51
2010-05-03,104.84
2010-05-04,102.39
2010-05-05,101.77
2010-05-06,98.4
2010-05-07,96.915
2010-05-10,101.19
2010-05-11,100.92
2010-05-12,102.32
2010-05-13,101.05
2010-05-14,99.2
2010-05-17,99.259
2010-05-18,97.931
2010-05-19,97.35
2010-05-20,93.676
2010-05-21,95.055
2010-05-24,93.825
2010-05-25,93.932
2010-05-26,93.363
2010-05-27,96.504
2010-05-28,95.275
2010-06-01,93.666
2010-06-02,96.118
2010-06-03,96.464
2010-06-04,93.057
2010-06-07,91.901
2010-06-08,92.882
2010-06-09,92.387
2010-06-10,95.095
2010-06-11,95.54
2010-06-14,95.398
2010-06-15,97.568
2010-06-16,97.538
2010-06-17,97.685
2010-06-18,97.32
2010-06-21,97.038
2010-06-22,95.447
2010-06-23,95.151
2010-06-24,93.578
2010-06-25,93.97
2010-06-28,93.666
2010-06-29,90.782
2010-06-30,89.923
2010-07-01,89.521
2010-07-02,89.032
2010-07-06,89.616
2010-07-07,92.44
2010-07-08,93.353
2010-07-09,94.052
2010-07-12,94.109
2010-07-13,95.53
2010-07-14,95.52
2010-07-15,95.54
2010-07-16,92.917
2010-07-19,93.464
2010-07-20,94.507
2010-07-21,93.267
2010-07-22,95.351
